Version,Model,Transmission,Fuel,City,Road,Average
4PTAS 2.0L 4CIL 150HP MAN,2018,MAN,Gasolina,15.68,23.84,18.53
LS 4PTAS 1.4L 4CIL 148HP TURBO AUT,2018,AUT,Gasolina,15.57,24.89,18.72
2PTS 1.2L 4CIL 104HP MAN TURBO,2012,MAN,Gasolina,15.54,21.78,17.84
2PTS 1.2L 4CIL 104HP MAN TURBO,2013,MAN,Gasolina,15.54,21.78,17.84
SEDAN 4PTS 2.0L 4CIL 160HP AUT,2016,AUT,Gasolina,15.54,24.84,18.69
HATCHBACK 5PTS 2.0L 4CIL 160HP AUT,2016,AUT,Gasolina,15.54,24.84,18.69
A7 5PTAS 1.4L 4CIL 150HP DSG TURBO FSI,2016,DSG,Gasolina,15.5,24.5,18.57
A7 5PTAS 1.4L 4CIL 150HP DSG TURBO FSI,2017,DSG,Gasolina,15.5,24.5,18.57
WAGON 4X2 5PTS 2.0L 4CIL 146HP AUT,2016,AUT,Gasolina,15.5,21.2,19
i SPORT 2WD 5PTAS 2.0L 4CIL 148HP AUT R16,2016,AUT,Gasolina,15.5,21.2,17.63
i 2WD 5PTAS 2.0L 4CIL 148HP AUT R16,2017,AUT,Gasolina,15.5,21.2,17.63
i SPORT 2WD 5PTAS 2.0L 4CIL 148HP AUT R16,2017,AUT,Gasolina,15.5,21.2,17.63
SEDAN 4PTS 2.0L 4CIL 153HP MAN,2014,MAN,Gasolina,15.4,23.5,19.58
SEDAN 4PTS 2.0L 4CIL 155HP MAN,2015,MAN,Gasolina,15.4,23.5,19.58
SEDAN 4PTS 2.0L 4CIL 155HP MAN,2016,MAN,Gasolina,15.4,23.5,19.58
i TOURING 4PTAS 2.0L 4CIL 155HP MAN,2016,MAN,Gasolina,15.4,23.5,19.58
i GRAND TOURING 2WD 5PTAS 2.0L 4CIL 148HP AUT R18,2016,AUT,Gasolina,15.4,21,17.5
i GRAND TOURING 2WD 5PTAS 2.0L 4CIL 148HP AUT R18,2017,AUT,Gasolina,15.4,21,17.5
SEDAN 4PUERTAS 1.4L 4CIL 122HP DSG TURBO,2015,DSG,Gasolina,15.3,24.7,18.46
4PTAS 1.6L 4CIL110HP TIP,2016,TIPT,Gasolina,15.3,26.7,18.94
4PTAS 1.6L 4CIL110HP TIP,2017,TIPT,Gasolina,15.3,26.7,18.94
4PTS 1.4L 4CIL 122HP DSG TURBO,2013,DSG,Gasolina,15.25,24.67,18.41
FWD 4PTAS 2.0L 4CIL 150HP AUT,2017,AUT,Gasolina,15.23,24.83,18.44
4PTAS 2.0L 4CIL 150HP AUT,2018,AUT,Gasolina,15.23,24.83,18.44
HATCHBACK 5PTS 2.0L 4CIL 160HP AUT,2012,AUT,Gasolina,15.2,22.8,17.88
SEDAN 4PTS 2.0L 4CIL 160HP AUT,2012,AUT,Gasolina,15.2,22.8,17.88
HATCHBACK 5PTS 2.0L 4CIL 160HP AUT,2013,AUT,Gasolina,15.2,22.8,17.88
SEDAN 4PTS 2.0L 4CIL 160HP AUT,2013,AUT,Gasolina,15.2,22.8,17.88
4PTS 1.8L 4CIL 129HP CVT,2017,CVT,Gasolina,15.2,23.5,18.07
A7 5PTAS 1.4L 4CIL 150HP MAN TURBO FSI,2016,MAN,Gasolina,15.2,24.7,18.38
A7 5PTAS 1.4L 4CIL 150HP MAN TURBO FSI,2017,MAN,Gasolina,15.2,24.7,18.38
5PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2012,MAN,Diesel,15.1,20.4,18.47
5PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2012,MAN,Diesel,15.1,20.4,18.47
6PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2013,MAN,Diesel,15.1,20.4,18.47
6PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2013,MAN,Diesel,15.1,20.4,18.47
4PTAS 2.0L 4CIL 152HP MAN,2016,MAN,Gasolina,15.1,23.23,17.92
SEDAN 4PTS 1.6L 4CIL 106HP MAN,2012,MAN,Gasolina,15,21.1,18.61
SEDAN 4PTS 1.6L 4CIL 106HP MAN,2013,MAN,Gasolina,15,21.1,18.61
HATCHBACK 5PTS 2.0L 4CIL 153HP MAN,2014,MAN,Gasolina,15,23,19.14
SEDAN 4PTS 1.6L 4CIL 106HP MAN,2015,MAN,Gasolina,15,21.1,18.61
HATCHBACK 5PTS 2.0L 4CIL 155HP MAN,2015,MAN,Gasolina,15,23,19.14
SEDAN 4PTS 1.6L 4CIL 106HP MAN,2016,MAN,Gasolina,15,21.1,18.61
HATCHBACK 5PTS 2.0L 4CIL 155HP MAN,2016,MAN,Gasolina,15,23,19.14
i 4PTAS 2.0L 4CIL 155HP MAN,2017,MAN,Gasolina,15,23.2,19.2
i 5PTAS 2.0L 4CIL 155HP MAN,2017,MAN,Gasolina,15,23,19.14
PREMIER 4PTAS 1.4L 4CIL 148HP TURBO AUT,2018,AUT,Gasolina,14.97,23.78,17.97
SEDAN 4PTS 1.6L 4CIL 106HP MAN,2013,MAN,Gasolina,14.94,20.66,17.07
SEDAN 4PTS 1.6L 4CIL 106HP MAN,2014,MAN,Gasolina,14.94,20.66,18.44
4PTAS 1.6L 4CIL 106HP MAN,2016,MAN,Gasolina,14.94,20.66,17.07
5PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2012,MAN,Diesel,14.9,21.3,18.6
6PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2013,MAN,Diesel,14.9,21.3,18.6
SEDAN 4PTS 1.6L 4CIL 106HP MAN,2015,MAN,Gasolina,14.9,20.66,18.41
5PTAS 1.6L 4CIL 122HP MAN,2017,MAN,Gasolina,14.85,18.59,17.71
5PTAS 1.6L 4CIL 201HP TURBO AUT DCT,2017,AUT,Gasolina,14.85,19.13,17.89
5PTAS 1.6L 4CIL 122HP MAN,2018,MAN,Gasolina,14.85,18.59,17.71
5PTAS 1.6L 4CIL 201HP TURBO AUT DCT,2018,AUT,Gasolina,14.85,19.13,17.89
5PTS 1.6L 4CIL 188HP CVT TURBO,2014,CVT,Gasolina,14.8,19.3,16.53
5PTS 1.6L 4CIL 188HP CVT TURBO,2015,CVT,Gasolina,14.8,19.3,16.53
HATCHBACK 5PTS 1.5L 4CIL 102HP MAN,2015,MAN,Gasolina,14.8,19.9,18.11
SEDAN 4PUERTAS 1.6L 4CIL 105HP TIP,2015,TIPTRONIC,Gasolina,14.8,25.2,18.18
5PTS 1.6L 4CIL 188HP AUT (CVT) TURBO,2016,CVT,Gasolina,14.8,19.3,16.53
4PTS 1.5L 4CIL 160HP AUT TURBO,2016,AUT,Gasolina,14.8,22.5,17.49
LS 4PTAS 1.5L 4CIL 160HP AUT TURBO,2017,AUT,Gasolina,14.79,22.49,17.49
LT 4PTAS 1.5L 4CIL 16HP AUT TURBO,2017,AUT,Gasolina,14.79,22.49,17.49
5PTS 1.4L 4CIL 160HP DSG FSI TURBO,2013,DSG,Gasolina,14.7,23.63,17.71
MKVI 4PTS 2.0L 4CIL 140HP DSG TDI,2011,DSG,Diesel,14.7,21.73,18.57
MKVI 4PTS 2.0L 4CIL 140HP MAN TDI,2011,M6,Diesel,14.7,21.73,18.57
SPORTWAGEN 4PTS 2.0L 4CIL 140HP DSG TDI,2011,DSG,Diesel,14.7,21.73,18.57
SPORTWAGEN 4PTS 2.0L 4CIL 140HP MAN TDI,2011,M6,Diesel,14.7,21.73,18.57
HATBACHBACK 5PTAS 2.0L 4CIL 160HP AUT,2017,AUT,Gasolina,14.7,24.34,17.89
SEDAN 4PTAS 2.0L 4CIL 160HP AUT,2017,AUT,Gasolina,14.7,24.34,17.89
4/5PTAS 2.0L 4CIL 160HP AUT,2018,AUT,Gasolina,14.7,24.34,17.89
HATCHBACK 5PTS 2.0L 4CIL 160HP AUT,2014,AUT,Gasolina,14.66,22.56,17.4
SEDAN 4PTS 2.0L 4CIL 160HP AUT,2014,AUT,Gasolina,14.66,22.56,17.4
ST 5PTS 2.0L 4CIL 250HP MAN TURBO,2014,MAN,Gasolina,14.66,22.56,18.77
