Versión,Modelo,Trans.,Cilindros,Potencia (HP),Tamaño (L),Categoría
i TOURING 5PTAS 2.0L 4CIL 155HP AUT,2016,AUT,4,155,2.0,AUTOS COMPACTOS
i 4PTAS 2.0L 4CIL 155HP AUT,2017,AUT,4,155,2.0,AUTOS COMPACTOS
i 5PTAS 2.0L 4CIL 155HP AUT,2017,AUT,4,155,2.0,AUTOS COMPACTOS
4PTS 1.2L 4CIL 105HP MAN TURBO,2013,MAN,4,105,1.2,AUTOS COMPACTOS
4PTAS 2.0L 4CIL 150HP MAN,2018,MAN,4,150,2.0,AUTOS COMPACTOS
LS 4PTAS 1.4L 4CIL 148HP TURBO AUT,2018,AUT,4,148,1.4,AUTOS COMPACTOS
2PTS 1.2L 4CIL 104HP MAN TURBO,2012,MAN,4,104,1.2,AUTOS COMPACTOS
2PTS 1.2L 4CIL 104HP MAN TURBO,2013,MAN,4,104,1.2,AUTOS COMPACTOS
SEDAN 4PTS 2.0L 4CIL 160HP AUT,2016,AUT,4,160,2.0,AUTOS COMPACTOS
HATCHBACK 5PTS 2.0L 4CIL 160HP AUT,2016,AUT,4,160,2.0,AUTOS COMPACTOS
A7 5PTAS 1.4L 4CIL 150HP DSG TURBO FSI,2016,DSG,4,150,1.4,AUTOS COMPACTOS
A7 5PTAS 1.4L 4CIL 150HP DSG TURBO FSI,2017,DSG,4,150,1.4,AUTOS COMPACTOS
WAGON 4X2 5PTS 2.0L 4CIL 146HP AUT,2016,AUT,4,146,2.0,AUTOS COMPACTOS
i SPORT 2WD 5PTAS 2.0L 4CIL 148HP AUT R16,2016,AUT,4,148,2.0,AUTOS COMPACTOS
i 2WD 5PTAS 2.0L 4CIL 148HP AUT R16,2017,AUT,4,148,2.0,AUTOS COMPACTOS
i SPORT 2WD 5PTAS 2.0L 4CIL 148HP AUT R16,2017,AUT,4,148,2.0,AUTOS COMPACTOS
SEDAN 4PTS 2.0L 4CIL 153HP MAN,2014,MAN,4,153,2.0,AUTOS COMPACTOS
SEDAN 4PTS 2.0L 4CIL 155HP MAN,2015,MAN,4,155,2.0,AUTOS COMPACTOS
SEDAN 4PTS 2.0L 4CIL 155HP MAN,2016,MAN,4,155,2.0,AUTOS COMPACTOS
i TOURING 4PTAS 2.0L 4CIL 155HP MAN,2016,MAN,4,155,2.0,AUTOS COMPACTOS
i GRAND TOURING 2WD 5PTAS 2.0L 4CIL 148HP AUT R18,2016,AUT,4,148,2.0,AUTOS COMPACTOS
i GRAND TOURING 2WD 5PTAS 2.0L 4CIL 148HP AUT R18,2017,AUT,4,148,2.0,AUTOS COMPACTOS
SEDAN 4PUERTAS 1.4L 4CIL 122HP DSG TURBO,2015,DSG,4,122,1.4,AUTOS COMPACTOS
4PTAS 1.6L 4CIL110HP TIP,2016,TIPT,4,110,1.6,AUTOS COMPACTOS
4PTAS 1.6L 4CIL110HP TIP,2017,TIPT,4,110,1.6,AUTOS COMPACTOS
4PTS 1.4L 4CIL 122HP DSG TURBO,2013,DSG,4,122,1.4,AUTOS COMPACTOS
FWD 4PTAS 2.0L 4CIL 150HP AUT,2017,AUT,4,150,2.0,AUTOS COMPACTOS
4PTAS 2.0L 4CIL 150HP AUT,2018,AUT,4,150,2.0,AUTOS COMPACTOS
HATCHBACK 5PTS 2.0L 4CIL 160HP AUT,2012,AUT,4,160,2.0,AUTOS COMPACTOS
SEDAN 4PTS 2.0L 4CIL 160HP AUT,2012,AUT,4,160,2.0,AUTOS COMPACTOS
HATCHBACK 5PTS 2.0L 4CIL 160HP AUT,2013,AUT,4,160,2.0,AUTOS COMPACTOS
SEDAN 4PTS 2.0L 4CIL 160HP AUT,2013,AUT,4,160,2.0,AUTOS COMPACTOS
4PTS 1.8L 4CIL 129HP CVT,2017,CVT,4,129,1.8,AUTOS COMPACTOS
A7 5PTAS 1.4L 4CIL 150HP MAN TURBO FSI,2016,MAN,4,150,1.4,AUTOS COMPACTOS
A7 5PTAS 1.4L 4CIL 150HP MAN TURBO FSI,2017,MAN,4,150,1.4,AUTOS COMPACTOS
5PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2012,MAN,4,105,1.6,AUTOS COMPACTOS
5PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2012,MAN,4,105,1.6,AUTOS COMPACTOS
6PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2013,MAN,4,105,1.6,AUTOS COMPACTOS
6PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2013,MAN,4,105,1.6,AUTOS COMPACTOS
4PTAS 2.0L 4CIL 152HP MAN,2016,MAN,4,152,2.0,AUTOS COMPACTOS
SEDAN 4PTS 1.6L 4CIL 106HP MAN,2012,MAN,4,106,1.6,AUTOS COMPACTOS
SEDAN 4PTS 1.6L 4CIL 106HP MAN,2013,MAN,4,106,1.6,AUTOS COMPACTOS
HATCHBACK 5PTS 2.0L 4CIL 153HP MAN,2014,MAN,4,153,2.0,AUTOS COMPACTOS
SEDAN 4PTS 1.6L 4CIL 106HP MAN,2015,MAN,4,106,1.6,AUTOS COMPACTOS
HATCHBACK 5PTS 2.0L 4CIL 155HP MAN,2015,MAN,4,155,2.0,AUTOS COMPACTOS
SEDAN 4PTS 1.6L 4CIL 106HP MAN,2016,MAN,4,106,1.6,AUTOS COMPACTOS
HATCHBACK 5PTS 2.0L 4CIL 155HP MAN,2016,MAN,4,155,2.0,AUTOS COMPACTOS
i 4PTAS 2.0L 4CIL 155HP MAN,2017,MAN,4,155,2.0,AUTOS COMPACTOS
i 5PTAS 2.0L 4CIL 155HP MAN,2017,MAN,4,155,2.0,AUTOS COMPACTOS
PREMIER 4PTAS 1.4L 4CIL 148HP TURBO AUT,2018,AUT,4,148,1.4,AUTOS COMPACTOS
SEDAN 4PTS 1.6L 4CIL 106HP MAN,2013,MAN,4,106,1.6,AUTOS COMPACTOS
SEDAN 4PTS 1.6L 4CIL 106HP MAN,2014,MAN,4,106,1.6,AUTOS COMPACTOS
4PTAS 1.6L 4CIL 106HP MAN,2016,MAN,4,106,1.6,AUTOS COMPACTOS
5PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2012,MAN,4,105,1.6,AUTOS COMPACTOS
6PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2013,MAN,4,105,1.6,AUTOS COMPACTOS
SEDAN 4PTS 1.6L 4CIL 106HP MAN,2015,MAN,4,106,1.6,AUTOS COMPACTOS
5PTAS 1.6L 4CIL 122HP MAN,2017,MAN,4,122,1.6,AUTOS COMPACTOS
5PTAS 1.6L 4CIL 201HP TURBO AUT DCT,2017,AUT,4,201,1.6,AUTOS COMPACTOS
5PTAS 1.6L 4CIL 122HP MAN,2018,MAN,4,122,1.6,AUTOS COMPACTOS
5PTAS 1.6L 4CIL 201HP TURBO AUT DCT,2018,AUT,4,201,1.6,AUTOS COMPACTOS
5PTS 1.6L 4CIL 188HP CVT TURBO,2014,CVT,4,188,1.6,AUTOS COMPACTOS
5PTS 1.6L 4CIL 188HP CVT TURBO,2015,CVT,4,188,1.6,AUTOS COMPACTOS
HATCHBACK 5PTS 1.5L 4CIL 102HP MAN,2015,MAN,4,102,1.5,AUTOS COMPACTOS
SEDAN 4PUERTAS 1.6L 4CIL 105HP TIP,2015,TIPTRONIC,4,105,1.6,AUTOS COMPACTOS
